xml:id	Lemma	Wortart	Level	Definition	Konzept
CL00146	läppsen	tr. v.		nippen; essen od. trinken wie einer, dem es nicht recht schmeckt	Trinken.Langsam_kleine_Mengen_trinken
CL00147	Läppsert	m.		Mensch, der im Essen u. Trinken nicht recht zugreift	Trinken
CL00163	lätschen	intr. v.		mit den Händen im Wasser herumplätschern	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CL00196	lebbern	tr. v.		nippen' schlürfen	Trinken.Langsam_kleine_Mengen_trinken
CL00292	Leiter II			Apparat zum Entrahmen der Milch. Auch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CL00328	Lê-schnur	f.		Schnur mit Angelhaken versehen, die man ins Wasser versenkt, um Fische zu fangen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CL00401	Lier	m.		Holzapfelwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CL00467	literen		2.	tüchtig trinken	Trinken
CL00523	lotsen	tr. v.		flötzen, flößen (auf dem Wasser schwimmen machen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CL00565	lumpen	m.		allg. zechen, schlemmen	Trinken.Alkohol_trinken
CM00015	Madam	f.	2.	Wasserjungfer	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Wasser
CM00027	Mawebitter			Magenbitter	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CM00185	Mascht I		2.	Mastschwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CM00198	Maschtert	n.		Mastschwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CM00226	Matten	f.	1.	geronnene Milch, aus der Käse gemacht wird; Käsmatte	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00226	Matten	f.	2.	Wasser, das sich bei Käsebereitung von der dicken Milch absondert	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00280	Mehlsuffe			Trank mit beigemischtem M. für die Haustiere	Getränk
CM00301	messich		2.	keine Milch gebend	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00317	Melkersch	f.		soviel Milch, als in einem Mal gemolken wird	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00320	Meller			Schmetterling	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
CM00416	Milch	f.		Milch. Rda	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00419	Milchbrekel			in Milch eingeweichte Brotstückchen ibid	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00420	Milchbretche			Milchbrötchen	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00422	Milchhawe			Milchtopf	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00465	Minut	f.	2.	Kaffeegeschirr; Topf, in welchem der Kaffee schnell zubereitet werden kann	Getränk.Heißgetränk.Alkoholfreies_Heißgetränk.Kaffee
CM00470	Mirabell	f.	2.	Mirabellenbranntwein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Spirituose
CM00556	Molken	m.		Käsewasser in der Dickmilch	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00617	mos I			keine Milch mehr gebend	Getränk.Kaltgetränk.Alkoholfreies_Kaltgetränk.Kaltes_Milchgetränk
CM00620	Moschketeller	m.		Muskatellertraube, –wein	Getränk.Kaltgetränk.Alkoholhaltiges_Kaltgetränk.Wein
